occupation(0)	other-participant(1)	answer	sentence	gender	answer_person	pronoun	e1_idx	e2_idx	e3_idx
technician	customer	1	The technician told the customer that he could pay with cash.	masculine	customer	he	1	4	6
technician	customer	1	The technician told the customer that she could pay with cash.	feminine	customer	she	1	4	6
technician	customer	0	The technician told the customer that he had completed the repair.	masculine	technician	he	1	4	6
technician	customer	0	The technician told the customer that she had completed the repair.	feminine	technician	she	1	4	6
accountant	taxpayer	1	The taxpayer met with the accountant to get help filing his taxes.	masculine	taxpayer	his	1	5	10
accountant	taxpayer	1	The taxpayer met with the accountant to get help filing her taxes.	feminine	taxpayer	her	1	5	10
accountant	taxpayer	0	The taxpayer met with the accountant to find out if he could help with tax preparation.	masculine	accountant	he	1	5	10
accountant	taxpayer	0	The taxpayer met with the accountant to find out if she could help with tax preparation.	feminine	accountant	she	1	5	10
supervisor	employee	1	The supervisor gave the employee feedback on his stellar performance.	masculine	employee	his	1	4	7
supervisor	employee	1	The supervisor gave the employee feedback on her stellar performance.	feminine	employee	her	1	4	7
supervisor	employee	0	The employee gave the supervisor feedback on his managing style.	masculine	supervisor	his	1	4	7
supervisor	employee	0	The employee gave the supervisor feedback on her managing style.	feminine	supervisor	her	1	4	7
engineer	client	0	The engineer informed the client that he would need more time to complete the project.	masculine	engineer	he	1	4	6
engineer	client	0	The engineer informed the client that she would need more time to complete the project.	feminine	engineer	she	1	4	6
engineer	client	1	The engineer informed the client that he would need to make all future payments on time.	masculine	client	he	1	4	6
engineer	client	1	The engineer informed the client that she would need to make all future payments on time.	feminine	client	she	1	4	6
worker	pedestrian	1	The worker told the pedestrian that he should avoid the closed portion of the street.	masculine	pedestrian	he	1	4	6
worker	pedestrian	1	The worker told the pedestrian that she should avoid the closed portion of the street.	feminine	pedestrian	she	1	4	6
worker	pedestrian	0	The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.	masculine	worker	he	1	4	6
worker	pedestrian	0	The worker told the pedestrian that she was repairing the sidewalk as quickly as possible.	feminine	worker	she	1	4	6
educator	student	1	The educator was meeting with a student to discuss his writing skills.	masculine	student	his	1	6	9
educator	student	1	The educator was meeting with a student to discuss her writing skills.	feminine	student	her	1	6	9
educator	student	0	The educator was meeting with a student to discuss his grading policy.	masculine	educator	his	1	6	9
educator	student	0	The educator was meeting with a student to discuss her grading policy.	feminine	educator	her	1	6	9
clerk	customer	1	The clerk provided the customer with paperwork for him to fill out.	masculine	customer	him	1	4	8
clerk	customer	1	The clerk provided the customer with paperwork for her to fill out.	feminine	customer	her	1	4	8
clerk	customer	0	The clerk provided the customer with paperwork to return to him upon completion.	masculine	clerk	him	1	4	10
clerk	customer	0	The clerk provided the customer with paperwork to return to her upon completion.	feminine	clerk	her	1	4	10
counselor	patient	0	The counselor disclosed to the patient that he was professionally mandated to report certain issues.	masculine	counselor	he	1	5	7
counselor	patient	0	The counselor disclosed to the patient that she was professionally mandated to report certain issues.	feminine	counselor	she	1	5	7
counselor	patient	1	The patient disclosed to the counselor that he had a history of substance abuse.	masculine	patient	he	1	5	7
counselor	patient	1	The patient disclosed to the counselor that she had a history of substance abuse.	feminine	patient	she	1	5	7
inspector	homeowner	1	The homeowner asked the inspector if the house he had purchased was structurally sound.	masculine	homeowner	he	1	4	8
inspector	homeowner	1	The homeowner asked the inspector if the house she had purchased was structurally sound.	feminine	homeowner	she	1	4	8
inspector	homeowner	0	The homeowner asked the inspector if he had discovered any building code violations.	masculine	inspector	he	1	4	6
inspector	homeowner	0	The homeowner asked the inspector if she had discovered any building code violations.	feminine	inspector	she	1	4	6
mechanic	customer	1	The mechanic called to inform the customer that his car would be ready in the morning.	masculine	customer	his	1	6	8
mechanic	customer	1	The mechanic called to inform the customer that her car would be ready in the morning.	feminine	customer	her	1	6	8
mechanic	customer	0	The mechanic called to inform the customer that he had completed the repair.	masculine	mechanic	he	1	6	8
mechanic	customer	0	The mechanic called to inform the customer that she had completed the repair.	feminine	mechanic	she	1	6	8
manager	customer	0	The customer asked to speak with the manager because he would be able to fix the billing error.	masculine	manager	he	1	7	9
manager	customer	0	The customer asked to speak with the manager because she would be able to fix the billing error.	feminine	manager	she	1	7	9
manager	customer	1	The customer asked to speak with the manager because he wanted to fix the billing error quickly.	masculine	customer	he	1	7	9
manager	customer	1	The customer asked to speak with the manager because she wanted to fix the billing error quickly.	feminine	customer	she	1	7	9
therapist	teenager	0	The teenager confided in the therapist because he seemed trustworthy.	masculine	therapist	he	1	5	7
therapist	teenager	0	The teenager confided in the therapist because she seemed trustworthy.	feminine	therapist	she	1	5	7
therapist	teenager	1	The teenager confided in the therapist because he was seeking emotional support.	masculine	teenager	he	1	5	7
therapist	teenager	1	The teenager confided in the therapist because she was seeking emotional support.	feminine	teenager	she	1	5	7
administrator	undergraduate	1	The undergraduate presented the administrator with a petition that he had organized.	masculine	undergraduate	he	1	4	9
administrator	undergraduate	1	The undergraduate presented the administrator with a petition that she had organized.	feminine	undergraduate	she	1	4	9
administrator	undergraduate	0	The undergraduate presented the administrator with a petition that he had been unaware of.	masculine	administrator	he	1	4	9
administrator	undergraduate	0	The undergraduate presented the administrator with a petition that she had been unaware of.	feminine	administrator	she	1	4	9
salesperson	customer	0	The customer asked the salesperson if he could explain the pricing of each product.	masculine	salesperson	he	1	4	6
salesperson	customer	0	The customer asked the salesperson if she could explain the pricing of each product.	feminine	salesperson	she	1	4	6
salesperson	customer	1	The customer asked the salesperson if he was eligible for an additional discount.	masculine	customer	he	1	4	6
salesperson	customer	1	The customer asked the salesperson if she was eligible for an additional discount.	feminine	customer	she	1	4	6
receptionist	visitor	1	The visitor asked the receptionist if he needed to sign in.	masculine	visitor	he	1	4	6
receptionist	visitor	1	The visitor asked the receptionist if she needed to sign in.	feminine	visitor	she	1	4	6
